asdf_id,viirs_ntl_annual_v21_avg_masked.2012.mean,viirs_ntl_annual_v21_avg_masked.2013.mean,viirs_ntl_annual_v21_avg_masked.2014.mean,viirs_ntl_annual_v21_avg_masked.2015.mean,viirs_ntl_annual_v21_avg_masked.2016.mean,viirs_ntl_annual_v21_avg_masked.2017.mean,viirs_ntl_annual_v21_avg_masked.2018.mean,viirs_ntl_annual_v21_avg_masked.2019.mean,viirs_ntl_annual_v21_avg_masked.2020.mean,viirs_ntl_annual_v21_avg_masked.2021.mean,Level,gqid,shapeGroup,shapeID,shapeName,shapeType
427,6.29226043561,6.36807100024,6.67190386454,7.32025369629,7.97617509879,8.03240874726,9.13152865601,9.25872008885,9.47536149623,10.3208209938,ADM2,427,THA,THA-ADM2-46861878B77099556,Mueang Pattani,ADM2
428,0.413282835515,0.438343700544,0.479546785423,0.514534643899,0.539065477688,0.631254063053,0.677088414478,0.677409528293,0.771154513497,0.834907781522,ADM2,428,THA,THA-ADM2-46861878B62630707,Mueang Phangnga,ADM2
429,0.79350493254,0.82180716865,1.16385805631,1.30717322197,1.34058256378,1.46342081741,1.60376484584,1.70010977788,1.74959185247,2.01299229598,ADM2,429,THA,THA-ADM2-46861878B81256838,Mueang Phatthalung,ADM2
430,0.432127728236,0.491349472447,0.535265285601,0.620253656272,0.584310299488,0.74963321358,0.815362448819,0.862467954808,0.948938727328,1.05082938606,ADM2,430,THA,THA-ADM2-46861878B73553013,Mueang Phayao,ADM2
431,0.302770584889,0.320933730229,0.31119714865,0.318246244159,0.329472643727,0.421082287341,0.467752853034,0.490314322094,0.516025196527,0.600194772542,ADM2,431,THA,THA-ADM2-46861878B46365826,Mueang Phetchabun,ADM2
432,3.81079996207,3.99687900126,4.24644865924,4.74491861094,4.87823152834,5.1000613365,5.30111701863,5.55935614714,5.71335951013,5.9192422926,ADM2,432,THA,THA-ADM2-46861878B75232686,Mueang Phetchaburi,ADM2
433,0.670697565419,0.729604678549,0.776439823482,0.933062459621,0.895069415064,1.16318505409,1.2563855078,1.3400464289,1.38370099334,1.62727368388,ADM2,433,THA,THA-ADM2-46861878B38870104,Mueang Phichit,ADM2
434,2.28325542162,2.46406205031,2.35885341302,2.71761170253,2.7067652047,2.9893985891,3.0101237112,3.22222045886,3.20381134298,3.65599443911,ADM2,434,THA,THA-ADM2-46861878B81032213,Mueang Phitsanulok,ADM2
435,0.554923882815,0.595540955508,0.620645265482,0.691387668712,0.699065078566,0.871529869352,0.895674528299,0.98751493292,1.00805441316,1.12301203858,ADM2,435,THA,THA-ADM2-46861878B81999987,Mueang Phrae,ADM2
436,8.60863158919,8.90711043743,9.46065135162,9.62530157873,10.1566624633,10.9814882933,11.1300835224,11.8814543322,11.6076195204,11.2713770469,ADM2,436,THA,THA-ADM2-46861878B451743,Mueang Phuket,ADM2
